title,artist,streams
Moscow Mule,Bad Bunny,781170620
Astronaut In The Ocean,Masked Wolf,780496141
un x100to,Grupo Frontera,777455381
Bad Habit,Steve Lacy,776530316
abcdefu,GAYLE,776489541
Head & Heart,Joel Corry,775664589
Here With Me,d4vd,775653461
Butter,BTS,773357950
Enemy,Imagine Dragons,772330393
Too Good At Goodbyes,Sam Smith,769575302
Cheap Thrills,Sia,769075819
Savage Love (Laxed - Sired Beat),Jawsh 685,769072293
Callaita,Bad Bunny,768647082
Hey Mor,Ozuna,765218719
I Love You So,The Walters,764614095
IDGAF,Dua Lipa,764027263
The Business,Tiësto,761936265
Where Are You Now,Lost Frequencies,761679727
Running Up That Hill (A Deal With God),Kate Bush,756894641
The Real Slim Shady,Eminem,756408299
What Do You Mean?,Justin Bieber,755059282
I Fall Apart,Post Malone,751801044
Mockingbird,Eminem,751141778
Sucker,Jonas Brothers,750194203
Call Out My Name,The Weeknd,748127745
Jimmy Cooks,Drake,747283980
Con Calma,Daddy Yankee,747154168
Every Breath You Take,The Police,744605139
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,739876069
The Middle,Zedd,737695785
Breaking Me,Topic,737440575
hot girl bummer,blackbear,734801592
Daylight,David Kushner,734621031
Rockin' Around The Christmas Tree,Brenda Lee,733224660
Life Is Good,Future,730884163
Treat You Better,Shawn Mendes,729653010
DESPECHÁ,ROSALÍA,728112787
It's Beginning to Look a Lot Like Christmas,Michael Bublé,727295684
SNAP,Rosa Linn,726561118
Santa Tell Me,Ariana Grande,722310552
Attention,Charlie Puth,721755627
There's Nothing Holdin' Me Back,Shawn Mendes,712700137
THATS WHAT I WANT,Lil Nas X,712683820
I'm the One,DJ Khaled,710871645
Why'd You Only Call Me When You're High?,Arctic Monkeys,709627249
This Is What You Came For,Calvin Harris,705804794
FRIENDS,Marshmello,705121626
Mi Gente,J Balvin,700647325
China,Anuel AA,700299345
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,696761933
Faded,Alan Walker,695662686
Until I Found You,Stephen Sanchez,695660001
Until I Found You,Stephen Sanchez,695173569
Work from Home,Fifth Harmony,691600792
Dancing With A Stranger,Sam Smith,689734075
MIA,Bad Bunny,687139530
Taste,Tyga,686007252
Intentions,Justin Bieber,684618862
Godzilla,Eminem,682820407
7 Years,Lukas Graham,681603159
Meant to Be,Bebe Rexha,678676587
Jingle Bell Rock,Bobby Helms,678086820
Calma - Remix,Pedro Capó,677924614
Break My Heart,Dua Lipa,677077932
no tears left to cry,Ariana Grande,676765440
Toosie Slide,Drake,676648172
Rockabye,Clean Bandit,671697572
For The Night,Pop Smoke,671301822
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,670849071
Mr. Brightside,The Killers,669671213
In My Mind,Dynoro,669517982
Say So,Doja Cat,668965840
Boy's a liar Pt. 2,PinkPantheress,666437216
Save Your Tears,The Weeknd,666311826
Robbery,Juice WRLD,664186208
Silence,Marshmello,660087451
MIDDLE OF THE NIGHT,Elley Duhé,659624921
Cupid - Twin Ver.,FIFTY FIFTY,657768813
Last Night,Morgan Wallen,656101665
Viva La Vida,Coldplay,655822853
Late Night Talking,Harry Styles,655670922
Paint The Town Red,Doja Cat,654409687
Hello,Adele,654392042
Feliz Cumpleaños Ferxxo,Feid,650074978
LALA,Myke Towers,649925959
What Lovers Do,Maroon 5,649656956
Work,Rihanna,647817743
2002,Anne-Marie,646948543
It Ain't Me,Kygo,646149695
Ransom,Lil Tecca,644522679
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,643640467
Goodbyes (Feat. Young Thug),Post Malone,642262659
Locked out of Heaven,Bruno Mars,637311938
Can't Feel My Face,The Weeknd,637039729
Stitches,Shawn Mendes,635743564
Me Rehúso,Danny Ocean,635341924
Yandel 150,Yandel,630470976
Snooze,SZA,629525076
Classy 101,Feid,628987482
Desesperados,Rauw Alejandro,628708102
1-800-273-8255,Logic,626129879
Wake Me Up,Avicii,625314232
Heathens,Twenty One Pilots,621015025
We Don't Talk Anymore,Charlie Puth,618764926
Don’t Blame Me,Taylor Swift,614138618
Can't Hold Us,Macklemore & Ryan Lewis,611947513
Demons,Imagine Dragons,611548031
Night Changes,One Direction,611411398
Panda,Desiigner,609762129
I Feel It Coming,The Weeknd,608108332
Summertime Sadness,Lana Del Rey,606427018
Light It Up,Major Lazer,605924015
When I Was Your Man,Bruno Mars,598606967
bury a friend,Billie Eilish,598467877
About Damn Time,Lizzo,597904592
It's the Most Wonderful Time of the Year,Andy Williams,597326161
Young Dumb & Broke,Khalid,595568074
Daddy Issues,The Neighbourhood,593711995
Rain On Me,Lady Gaga,593097652
Lalala,Y2K,592313504
Better,Khalid,591620073
vampire,Olivia Rodrigo,591564438
Hotline Bling,Drake,591265781
Nice For What,Drake,589260626
happier,Olivia Rodrigo,589128302
Uptown Funk,Mark Ronson,588790846
cardigan,Taylor Swift,585881296
Wolves,Selena Gomez,582792356
Apocalypse,Cigarettes After Sex,582419125
What You Know Bout Love,Pop Smoke,581103859
Lo Siento BB:/,Tainy,578952205
Stay,Zedd,577000515
In the Name of Love,Martin Garrix,575747087
Te Boté - Remix,Nio Garcia,574736720
RITMO (Bad Boys For Life),Black Eyed Peas,572464627
Mask Off,Future,571042619
Friday,Riton,569644083
Sure Thing,Miguel,566307530
Bam Bam,Camila Cabello,566167429
WHERE SHE GOES,Bad Bunny,565528743
Stargirl Interlude,The Weeknd,563369737
"Me, Myself & I",G-Eazy,560137570
Dance The Night (From Barbie The Album),Dua Lipa,560106084
Neverita,Bad Bunny,558855581
If The World Was Ending,JP Saxe,556523647
Swalla,Jason Derulo,556313459
Symphony,Clean Bandit,554856999
The Nights,Avicii,553270349
WITHOUT YOU,The Kid LAROI,551151192
No Me Conoce - Remix,Jhayco,550798902
Like Crazy,Jimin,550021335
Falling,Harry Styles,549628217
Look Alive,BlocBoy JB,547583102
Lush Life,Zara Larsson,545990676
Unstoppable,Sia,542712044
CUFF IT,Beyoncé,541341042
Cake By The Ocean,DNCE,540907345
Die For You,The Weeknd,540084191
Too Good,Drake,539908098
Let Me Down Slowly,Alec Benjamin,539821463
Solo,Clean Bandit,538330585
Rich Flex,Drake,536529430
Galway Girl,Ed Sheeran,536301550
Starving,Hailee Steinfeld,536221362
Ride,Twenty One Pilots,535230933
Side To Side,Ariana Grande,534974548
Piece Of Your Heart,MEDUZA,534038311
Paris,The Chainsmokers,531460400
I WANNA BE YOUR SLAVE,Måneskin,531189317
Location,Khalid,527974262
24K Magic,Bruno Mars,526733023
How Do You Sleep?,Sam Smith,526607118
Everybody Wants To Rule The World,Tears For Fears,526197189
34+35,Ariana Grande,525225592
See You Again,"Tyler, The Creator",521766934
Castle on the Hill,Ed Sheeran,521758591
Issues,Julia Michaels,521324799
Heartbreak Anniversary,Giveon,521117880
Promises,Calvin Harris,520088625
Where Are Ü Now,Jack Ü,519124349
First Class,Jack Harlow,519064354
Going Bad,Meek Mill,518669657
LA NOCHE DE ANOCHE,Bad Bunny,515478688
It's You,Ali Gatie,515455971
Stay With Me,Sam Smith,514907518
MAMIII,Becky G,512627407
La Jumpa,Arcángel,511364205
More Than You Know,Axwell /\ Ingrosso,511247072
Laugh Now Cry Later,Drake,509626265
The Night We Met,Lord Huron,508501091
Sorry Not Sorry,Demi Lovato,507635767
All Girls Are The Same,Juice WRLD,506738858
Another One Bites The Dust - Remastered 2011,Queen,506194386
MIDDLE CHILD,J. Cole,505742320
If I Can't Have You,Shawn Mendes,504465150
Wild Thoughts,DJ Khaled,503946320
telepatía,Kali Uchis,503089033
changes,XXXTENTACION,501903226
Body,Loud Luxury,500601776
Sprinter,Dave,500337994
ily,Surf Mesa,500335917
Money In The Grave (Drake ft. Rick Ross),Drake,499848542
All The Stars,Kendrick Lamar,499797349
Escapism.,RAYE,499226794
Feel It Still,Portugal. The Man,498277206
Fast Car,Jonas Blue,498114284
RAPSTAR,Polo G,498088134
Strip That Down,Liam Payne,497367993
Stuck with U,Ariana Grande,496819267
Sunday Best,Surfaces,496024986
El Azul,Junior H,495270563
Scared to Be Lonely,Martin Garrix,493845185
Truth Hurts,Lizzo,492421247
Let You Down,NF,492237653
Passionfruit,Drake,491722119
Style,Taylor Swift,489964273
These Days,Rudimental,489637307
Set Fire to the Rain,Adele,489179289
Fuck Love,XXXTENTACION,488482779
Dusk Till Dawn,ZAYN,486959789
I Like You (A Happier Song),Post Malone,486900993
PILLOWTALK,ZAYN,484589224
Lover,Taylor Swift,484039586
Lose You To Love Me,Selena Gomez,482751556
Roses,The Chainsmokers,482541088
Karma,Taylor Swift,482084147
fukumean,Gunna,482065813
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,482046740
Party,Bad Bunny,481255049
Love Lies,Khalid,480886683
I Was Never There,The Weeknd,480668998
"10,000 Hours",Dan + Shay,480638282
See You Again,Wiz Khalifa,480069378
Arcade,Duncan Laurence,480064510
Gangsta's Paradise,Coolio,479569380
Nonsense,Sabrina Carpenter,479546027
love nwantiti (ah ah ah),CKay,479396386
BESO,ROSALÍA,477500978
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,476546587
"i hate u, i love u",gnash,476399590
X,Nicky Jam,476282186
Qué Más Pues?,J Balvin,473158904
Mistletoe,Justin Bieber,472622463
Tarot,Bad Bunny,472434945
ZEZE,Kodak Black,470553282
Sunroof,Nicky Youre,468233889
Fake Love,Drake,468058701
Moonlight,Kali Uchis,467972408
Old Town Road,Lil Nas X,466704871
BICHOTA,KAROL G,465700353
Somewhere Only We Know,Keane,465288135
Come & Go,Juice WRLD,465253095
In Your Eyes,The Weeknd,465080582
Columbia,Quevedo,464344560
Happier,Ed Sheeran,463581393
Do It To It,ACRAZE,463480303
Mine,Bazzi,462048429
Sugar,Robin Schulz,461442340
Ric Flair Drip,Offset,461053493
Te Felicito,Shakira,460727036
Infinity,Jaymes Young,459392948
august,Taylor Swift,459334066
Volví,Aventura,459276354
Felices los 4,Maluma,459227992
Call On Me - Ryan Riback Extended Remix,Starley,457018897
Feels,Calvin Harris,456897665
Streets,Doja Cat,456882894
MONEY,LISA,456750403
Una Noche en Medellín,Cris Mj,456544356
Lose Control,MEDUZA,454152887
Dreams - 2004 Remaster,Fleetwood Mac,453804406
Chandelier,Sia,453681884
Needed Me,Rihanna,451689841
OMG,NewJeans,451165651
Sugar,Maroon 5,450265505
Échame La Culpa,Luis Fonsi,449846353
Don't Wanna Know,Maroon 5,449618312
Holy,Justin Bieber,449332869
Nonstop,Drake,449175595
Lavender Haze,Taylor Swift,447677666
PRC,Peso Pluma,446473148
Mama,Jonas Blue,445091863
BUTTERFLY EFFECT,Travis Scott,442331083
LADY GAGA,Peso Pluma,441468249
Drip Too Hard (Lil Baby & Gunna),Lil Baby,441029078
Adan y Eva,Paulo Londra,440769331
Bank Account,21 Savage,439636001
"break up with your girlfriend, i'm bored",Ariana Grande,437732762
Save Your Tears (Remix),The Weeknd,437539693
Feliz Navidad,José Feliciano,436623320
Made You Look,Meghan Trainor,436275519
Middle,DJ Snake,436216031
The Motto,Tiësto,435785120
Let Me Go,Hailee Steinfeld,434632263
Perfect Strangers,Jonas Blue,434087179
favorite crime,Olivia Rodrigo,433840875
Bandido,Myke Towers,433748141
Mo Bamba,Sheck Wes,431461701
Something in the Orange,Zach Bryan,431291937
greedy,Tate McRae,431288544
Yummy,Justin Bieber,428561308
Don't Call Me Up,Mabel,426511177
Supalonely,BENEE,426415038
Redbone,Childish Gambino,425196987
How Deep Is Your Love,Calvin Harris,425117823
Wonderwall - Remastered,Oasis,424062312
QLONA,KAROL G,422243568
Loco Contigo,DJ Snake,421359572
Talk,Khalid,420957076
Wishing Well,Juice WRLD,420630823
Just Wanna Rock,Lil Uzi Vert,420344496
Therefore I Am,Billie Eilish,420200116
Chantaje,Shakira,420178904
Rise,Jonas Blue,419661649
People,Libianca,419641214
Que Vuelvas,Carin Leon,419490588
Whoopty,CJ,418959455
Underneath the Tree,Kelly Clarkson,418319788
Don't Stop Me Now - Remastered 2011,Queen,418061990
AMG,Natanael Cano,417971315
Freaks,Surf Curse,415825174
La Curiosidad,Jay Wheeler,415811917
2U,David Guetta,415539830
Back To You,Selena Gomez,414829197
No Guidance,Chris Brown,410659384
You Right,Doja Cat,410249087
Normal,Feid,410100172
Pareja Del Año,Sebastian Yatra,409836602
Holly Jolly Christmas,Michael Bublé,409266113
Love Me Like You Do,Ellie Goulding,407547214
Dior,Pop Smoke,406659769
Bad and Boujee,Migos,406657213
Soltera - Remix,Lunay,406319389
Fiel,Los Legendarios,405556753
Angels Like You,Miley Cyrus,404639211
Trap Queen,Fetty Wap,404484530
Slide,Calvin Harris,404437723
Reminder,The Weeknd,404247898
Mercy,Shawn Mendes,402786765
Vaina Loca,Ozuna,402745785
Shut up My Moms Calling,Hotel Ugly,401997475
Snowman,Sia,401743954
FEFE,6ix9ine,399749761
Higher Love,Kygo,399605223
Miss You,Oliver Tree,399444717
Bandit,Juice WRLD,398769847
Money Trees,Kendrick Lamar,398710132
Con Altura,ROSALÍA,398495826
Black Beatles,Rae Sremmurd,396390487
Safaera,Bad Bunny,396269194
Jackie Chan,Tiësto,396140498
Volando - Remix,Mora,393603448
Good Days,SZA,389135016
Firestone,Kygo,388100502
Criminal,NATTI NATASHA,388049247
Do They Know It's Christmas? - 1984 Version,Band Aid,387672732
i'm so tired...,Lauv,387164446
Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra,386843488
Popular,The Weeknd,386543726
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,386304973
Lonely,Justin Bieber,385388896
Pink Venom,BLACKPINK,384934801
Shut Down,BLACKPINK,384743677
Those Eyes,New West,383210461
My Way,Calvin Harris,382393243
Want to Want Me,Jason Derulo,382237095
Into You,Ariana Grande,381650138
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,381226013
Cheerleader (Felix Jaehn Remix),OMI,379323288
Otro Trago,Sech,379255058
Paradise,MEDUZA,378173508
THE SCOTTS,THE SCOTTS,376778402
Never Forget You,Zara Larsson,376580925
Natural,Imagine Dragons,376064392
WAIT FOR U,Future,375638009
White Iverson,Post Malone,374104170
In My Blood,Shawn Mendes,373232548
Panini,Lil Nas X,372265570
No Money,Galantis,371953792
Escápate Conmigo,Wisin,370528815
POPSTAR,DJ Khaled,370178717
LOKERA,Rauw Alejandro,370033935
Otra vez,Zion & Lennox,369056927
Sex,Cheat Codes,368802602
God is a woman,Ariana Grande,368492837
Let Her Go,Passenger,367357322
AM Remix,Nio Garcia,367271465
The Color Violet,Tory Lanez,366267354
Look At Me!,XXXTENTACION,365132150
How You Like That,BLACKPINK,364910816
Candy Paint,Post Malone,364888257
Mon Amour - Remix,zzoilo,364236867
The Ocean,Mike Perry,364142361
Sucker For Pain,Lil Wayne,362506220
iSpy,KYLE,361633750
Talking to the Moon,Bruno Mars,360845633
Nevermind,Dennis Lloyd,360631826
Just the Way You Are,Bruno Mars,359779526
Relación - Remix,Sech,359409969
Secreto,Anuel AA,358927858
DNA.,Kendrick Lamar,358739574
Broccoli,DRAM,358456348
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,356882781
Strangers,Kenya Grace,356864961
Goosebumps - Remix,Travis Scott,356408615
Gucci Gang,Lil Pump,356386000
Too Many Nights,Metro Boomin,356154756
Super Shy,NewJeans,355726290
Jumpman,Drake,355521010
Boy With Luv,BTS,355218547
Sin Pijama,Becky G,354719751
SOS,Avicii,354516064
We Found Love,Rihanna,354351502
River,Eminem,354278282
Payphone,Maroon 5,353163269
La Corriente,Bad Bunny,352793231
Vete,Bad Bunny,351979210
Bodak Yellow,Cardi B,351893466
Solo Dance,Martin Jensen,351441113
Hold On,Justin Bieber,350895239
Physical,Dua Lipa,350654940
Bebe Dame,Fuerza Regida,349890505
Swervin,A Boogie Wit da Hoodie,349631682
Controlla,Drake,349587944
ocean eyes,Billie Eilish,347731967
Never Be the Same,Camila Cabello,347446417
Envolver,Anitta,347409580
Yo Perreo Sola,Bad Bunny,346879568
I'm Yours,Jason Mraz,345687030
WHATS POPPIN,Jack Harlow,344486459
Revenge,XXXTENTACION,343700194
My House,Flo Rida,342623779
Your Love (9PM),ATB,342475762
BOP,DaBaby,342194945
Bang Bang,Jessie J,339788195
Mood Swings,Pop Smoke,339355315
Everybody Dies In Their Nightmares,XXXTENTACION,338957626
The London,Young Thug,338527796
Sleigh Ride,The Ronettes,337870921
Barbie World,Nicki Minaj,337770498
Stole the Show,Kygo,336020253
Stay,Kygo,335790434
Lonely Together,Avicii,335238632
One Right Now,Post Malone,334490677
Toxic,BoyWithUke,333915657
Get You The Moon,Kina,333141265
Ditto,NewJeans,332653707
Me Niego,Reik,332540769
South of the Border,Ed Sheeran,332051750
Up,Cardi B,332026103
Capsize,FRENSHIP,331803535
Close To Me,Ellie Goulding,330642802
WHATS POPPIN,Jack Harlow,330144277
Take You Dancing,Jason Derulo,330141872
Hecha Pa' Mi,Boza,330029766
"Ay, DiOs Mío!",KAROL G,329946008
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,329897898
Rojo,J Balvin,329665954
You Need To Calm Down,Taylor Swift,329597903
"jealousy, jealousy",Olivia Rodrigo,329086857
Prisoner,Miley Cyrus,328626610
wish you were gay,Billie Eilish,328119723
LOVE. FEAT. ZACARI.,Kendrick Lamar,328059886
Si No Estás,iñigo quintero,327897712
Glorious,Macklemore,327836438
love nwantiti,CKay,326585349
Gold,Kiiara,326530573
Friends,Justin Bieber,326074930
LA INOCENTE,Mora,326018002
Knife Talk,Drake,325916259
I Love It (& Lil Pump),Kanye West,325719578
Without You,Avicii,325422497
White Christmas,Bing Crosby,325392491
Reloj,Rauw Alejandro,324842957
Fantasias,Rauw Alejandro,324450772
Waiting For Love,Avicii,324195864
Send My Love (To Your New Lover),Adele,324033866
Pa Mí - Remix,Dalex,323868171
El Merengue,Marshmello,323839481
Earned It (Fifty Shades Of Grey),The Weeknd,323722622
La Nota,Manuel Turizo,322129578
I'm Not The Only One,Sam Smith,320995436
Doja,Central Cee,320699138
Desconocidos,Mau y Ricky,320639348
Ballin',Mustard,318748156
Adventure of a Lifetime,Coldplay,318716583
Locked Away,R. City,318317625
Bruises,Lewis Capaldi,317925320
Slow Hands,Niall Horan,317920839
TQM,Fuerza Regida,317715353
Dura,Daddy Yankee,317586973
PUNTO G,Quevedo,317551536
Shut Up and Dance,WALK THE MOON,317407966
No Promises,Cheat Codes,316991247
Super Freaky Girl,Nicki Minaj,315811482
CHORRITO PA LAS ANIMAS,Feid,314355462
Chemical,Post Malone,313481023
Después de la Playa,Bad Bunny,313048680
Enemy,Imagine Dragons,313016395
Wake Up in the Sky,Gucci Mane,312915459
Beautiful,Bazzi,312832210
Déjala Que Vuelva,Piso 21,311930882
AMARGURA,KAROL G,311227027
Light Switch,Charlie Puth,311126935
Shotgun,George Ezra,311040546
Calling My Phone,Lil Tjay,310569820
Midnight Rain,Taylor Swift,310349931
Caramelo,Ozuna,310106719
Kings & Queens,Ava Max,309643378
Primera Cita,Carin Leon,308503833
Hymn for the Weekend - Seeb Remix,Coldplay,306140028
Look What You Made Me Do,Taylor Swift,305549210
Don't Be Shy,Tiësto,305215061
Smells Like Teen Spirit - Remastered,Nirvana,305178048
Boyfriend,Dove Cameron,304651042
Sign of the Times,Harry Styles,304519570
3 Nights,Dominic Fike,303526966
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,303105982
Blame,Calvin Harris,302992654
Suge,DaBaby,302535980
My Oh My,Camila Cabello,302186950
SUBEME LA RADIO,Enrique Iglesias,301732326
Baila Baila Baila,Ozuna,301330276
This Girl - Kungs Vs. Cookin' On 3 Burners,Kungs,300433811
All We Know,The Chainsmokers,300392684
Fin de Semana,Oscar Maydon,300285796
11 PM,Maluma,299779234
Party Girl,StaySolidRocky,299521244
my ex's best friend,Machine Gun Kelly,299276073
El Perdón,Nicky Jam,298515974
Beautiful Mistakes,Maroon 5,297969587
SABOR FRESA,Fuerza Regida,297135824
Reggaetón Lento (Bailemos),CNCO,297110378
Lights Up,Harry Styles,296283888
Meet Me At Our Spot,THE ANXIETY,296022978
El Gordo Trae El Mando,Chino Pacas,295126774
Corazón,Maluma,294709391
Murder In My Mind,Kordhell,294694103
Trance,Metro Boomin,294513800
HP,Maluma,294170748
Never Be Like You,Flume,294087112
Put Your Records On,Ritt Momney,293904398
Permission to Dance,BTS,293654905
Anyone,Justin Bieber,293543796
Moth To A Flame,Swedish House Mafia,293363587
Hola - Remix,Dalex,293249385
Africa,TOTO,293200326
Scars To Your Beautiful,Alessia Cara,293163265
Golden,Harry Styles,292249617
Hymn for the Weekend,Coldplay,292233814
Coco Chanel,Eladio Carrion,292192129
DUELE EL CORAZON,Enrique Iglesias,291315254
Softcore,The Neighbourhood,291254239
Get Into It (Yuh),Doja Cat,291076280
Sobrio,Maluma,290956361
Arms Around You,XXXTENTACION,290810103
Yes Indeed,Lil Baby,290349656
Bounce Back,Big Sean,290259364
Te Robaré,Nicky Jam,290244899
Freaky Friday,Lil Dicky,290176541
Ella Quiere Beber - Remix,Anuel AA,289697724
The Christmas Song (Merry Christmas To You),Nat King Cole,289052645
MAMACITA,Black Eyed Peas,288842182
Baby Don't Hurt Me,David Guetta,288816851
Life Goes On,Oliver Tree,288324781
Final Song,MØ,288284746
Miénteme,TINI,288035516
Players,Coi Leray,287699243
